0.012286,0.012291,0.012292,0.011914,0.012278,0.011946,0.012289,0.013801,0.012296,0.012075,0.012283,0.011835,0.012286,0.012299,0.012296,0.010668,0.012248,0.012211,0.011991,0.01195,0.011853,0.74863,0.01222,0.011675,0.012264,0.013724,0.012277,0.012203,-0.27137,0.01213,0.011872,0.011887,0.012293,0.011583,0.011611,-0.049322
0.027765,0.03103,0.027411,0.02764,0.027746,0.027727,0.027768,0.027903,0.027895,0.027878,0.02699,0.027788,0.027651,0.027412,0.027096,0.027453,0.026906,0.030105,0.027764,0.027652,0.024016,0.69271,0.026962,0.027634,0.027763,0.02757,0.026857,0.027266,-0.59351,0.027411,0.027696,0.027711,0.027654,0.027641,0.027471,-0.49707
-0.91948,-0.95841,-1.0262,-1.0254,-1.0252,-1.0265,-1.0088,-0.92088,-1.0158,-0.98636,-0.93876,-0.99097,-1.0263,-0.99161,-1.0256,-1.025,-1.0248,-1.0266,-1.0261,-0.98997,-1.025,-0.10494,-1.0246,-1.0266,-1.0254,-0.99663,-1.0248,-1.0246,-0.10448,-1.0268,-1.0274,-1.008,-1.0275,-1.0265,-1.0273,0.44474
0.37843,0.42006,0.38041,0.34163,0.37681,0.41553,0.3798,0.38113,0.38578,0.38286,0.37977,0.36914,0.38301,0.38322,0.38983,0.39097,0.38669,0.38189,0.37898,0.38114,0.39027,0.38507,0.38529,0.38741,0.37729,0.33574,0.38693,0.3881,0.46023,0.37218,0.3735,0.37461,0.37135,0.38395,0.37132,0.25908
0.047342,0.047322,0.046285,0.047036,0.048168,0.047335,0.047166,0.046891,0.04551,0.052779,0.04905,0.047009,0.041968,0.043637,0.041017,0.041045,0.046699,0.043821,0.04701,0.046786,0.0449,0.38446,0.047256,0.046726,0.050305,0.052763,0.044896,0.043314,0.97904,0.048616,0.047173,0.046998,0.042066,0.046794,0.048997,0.083868
0.032796,0.032798,0.032744,0.032755,0.032428,0.032423,0.032796,0.0328,0.032765,0.032715,0.032607,0.028718,0.032704,0.032778,0.032703,0.036276,0.0326,0.032432,0.032759,0.032754,0.032704,0.37279,0.032409,0.032453,0.032683,0.032663,0.032462,0.032468,-0.59412,0.032393,0.032592,0.032591,0.032613,0.032583,0.032393,-0.13653
-0.23402,-0.23405,-0.2341,-0.23435,-0.24035,-0.23453,-0.2341,-0.23413,-0.23424,-0.23462,-0.235,-0.23475,-0.23422,-0.23415,-0.23434,-0.23452,-0.23744,-0.23436,-0.23411,-0.23441,-0.23458,0.18837,-0.24021,-0.23486,-0.23744,-0.23846,-0.21259,-0.23942,0.48235,-0.23643,-0.23411,-0.23437,-0.23443,-0.23469,-0.23863,0.30466
-0.67818,-0.67934,-0.71091,-0.70211,-0.70761,-0.70967,-0.67935,-0.68674,-0.72011,-0.71103,-0.70029,-0.7072,-0.71954,-0.69971,-0.73451,-0.72722,-0.73622,-0.72816,-0.70474,-0.70827,-0.73179,0.60758,-0.72274,-0.71086,-0.6941,-0.73271,-0.73575,-0.73159,0.53608,-0.71483,-0.69616,-0.70577,-0.7311,-0.71064,-0.73522,0.30868
0.11863,0.11876,0.11832,0.11853,0.11883,0.11867,0.11867,0.10646,0.11846,0.11838,0.11882,0.11871,0.11847,0.11831,0.11824,0.11801,0.11848,0.11834,0.11851,0.11844,0.11813,-0.52865,0.11835,0.11833,0.11888,0.11892,0.13158,0.11824,-0.58989,0.11891,0.11865,0.11877,0.11839,0.11836,0.11887,-0.50646
-0.13988,-0.14005,-0.14404,-0.13108,-0.14632,-0.14195,-0.14011,-0.14062,-0.14338,-0.14,-0.14662,-0.14134,-0.14249,-0.1436,-0.14516,-0.13486,-0.14824,-0.14493,-0.13748,-0.13119,-0.1333,-0.81078,-0.13344,-0.13781,-0.14184,-0.14779,-0.14672,-0.14761,0.50354,-0.16104,-0.14036,-0.14126,-0.14508,-0.13654,-0.14578,0.43162
-0.17659,-0.17596,-0.17622,-0.17659,-0.17816,-0.1767,-0.17586,-0.17517,-0.17566,-0.17548,-0.17589,-0.17632,-0.17588,-0.17573,-0.19498,-0.1766,-0.17831,-0.17637,-0.17668,-0.17621,-0.1567,-0.21726,-0.17782,-0.1771,-0.17746,-0.1754,-0.17746,-0.17823,0.17169,-0.1778,-0.17693,-0.17647,-0.17576,-0.17675,-0.17742,0.36869
